reservation_status_date,COUNT(reservation_status_date)
2014-10-17,180
2014-11-18,1
2015-01-01,763
2015-01-02,16
2015-01-18,1
2015-01-20,2
2015-01-21,91
2015-01-22,6
2015-01-28,1
2015-01-29,1
2015-01-30,67
2015-02-02,2
2015-02-05,4
2015-02-06,1
2015-02-09,1
2015-02-10,2
2015-02-11,3
2015-02-12,1
2015-02-17,2
2015-02-19,1
2015-02-20,20
2015-02-23,2
2015-02-24,1
2015-02-25,2
2015-02-26,1
2015-02-27,1
2015-03-03,38
2015-03-04,2
2015-03-05,1
2015-03-06,2
2015-03-09,4
2015-03-10,1
2015-03-11,1
2015-03-12,1
2015-03-13,1
2015-03-17,4
2015-03-18,1
2015-03-23,2
2015-03-24,3
2015-03-25,17
2015-03-28,1
2015-03-29,1
2015-03-30,1
2015-03-31,4
2015-04-02,18
2015-04-03,2
2015-04-04,8
2015-04-05,6
2015-04-06,4
2015-04-07,1
2015-04-08,3
2015-04-10,5
2015-04-11,3
2015-04-13,2
2015-04-14,3
2015-04-15,9
2015-04-16,7
2015-04-17,2
2015-04-18,2
2015-04-20,6
2015-04-21,1
2015-04-22,7
2015-04-23,3
2015-04-24,4
2015-04-25,1
2015-04-27,1
2015-04-28,25
2015-04-29,27
2015-04-30,1
2015-05-01,9
2015-05-04,3
2015-05-05,4
2015-05-06,6
2015-05-07,6
2015-05-08,3
2015-05-09,4
2015-05-11,5
2015-05-12,11
2015-05-13,13
2015-05-14,50
2015-05-15,1
2015-05-16,3
2015-05-18,12
2015-05-19,33
2015-05-20,8
2015-05-21,3
2015-05-22,10
2015-05-23,8
2015-05-25,6
2015-05-26,2
2015-05-27,10
2015-05-28,28
2015-05-29,34
2015-05-30,3
2015-06-01,13
2015-06-02,10
2015-06-03,9
2015-06-04,6
2015-06-05,7
2015-06-06,3
2015-06-08,10
2015-06-09,35
2015-06-10,4
2015-06-11,13
2015-06-12,10
2015-06-13,4
2015-06-14,1
2015-06-15,53
2015-06-16,44
2015-06-17,100
2015-06-18,7
2015-06-19,14
2015-06-20,8
2015-06-22,16
2015-06-23,22
2015-06-24,6
2015-06-25,15
2015-06-26,67
2015-06-27,29
2015-06-29,96
2015-06-30,64
2015-07-01,12
2015-07-02,462
2015-07-03,80
2015-07-04,7
2015-07-06,783
2015-07-07,38
2015-07-08,73
2015-07-09,63
2015-07-10,44
2015-07-11,9
2015-07-12,4
2015-07-13,17
2015-07-14,17
2015-07-15,14
2015-07-16,36
2015-07-17,32
2015-07-18,24
2015-07-20,21
2015-07-21,23
2015-07-22,99
2015-07-23,179
2015-07-24,6
2015-07-25,52
2015-07-27,18
2015-07-28,17
2015-07-29,38
2015-07-30,55
2015-07-31,71
2015-08-01,61
2015-08-03,9
2015-08-04,59
2015-08-05,19
2015-08-06,59
2015-08-07,12
2015-08-08,8
2015-08-09,3
2015-08-10,62
2015-08-11,80
2015-08-12,31
2015-08-13,36
2015-08-14,72
2015-08-15,6
2015-08-17,83
2015-08-18,41
2015-08-19,16
2015-08-20,23
2015-08-21,129
2015-08-22,26
2015-08-23,1
2015-08-24,24
2015-08-25,31
2015-08-26,17
2015-08-27,11
2015-08-28,26
2015-08-29,5
2015-08-31,73
2015-09-01,36
2015-09-02,39
2015-09-03,21
2015-09-04,51
2015-09-05,18
2015-09-06,2
2015-09-07,40
2015-09-08,27
2015-09-09,183
2015-09-10,24
2015-09-11,39
2015-09-12,11
2015-09-13,1
2015-09-14,48
2015-09-15,64
2015-09-16,40
2015-09-17,63
2015-09-18,17
2015-09-19,4
2015-09-20,2
2015-09-21,29
2015-09-22,45
2015-09-23,9
2015-09-24,60
2015-09-25,8
2015-09-26,7
2015-09-27,3
2015-09-28,83
2015-09-29,17
2015-09-30,40
2015-10-01,21
2015-10-02,44
2015-10-03,7
2015-10-04,4
2015-10-05,28
2015-10-06,12
2015-10-07,67
2015-10-08,35
2015-10-09,21
2015-10-10,52
2015-10-12,69
2015-10-13,44
2015-10-14,40
2015-10-15,31
2015-10-16,78
2015-10-17,13
2015-10-18,2
2015-10-19,105
2015-10-20,40
2015-10-21,1373
2015-10-22,66
2015-10-23,81
2015-10-24,7
2015-10-26,40
2015-10-27,72
2015-10-28,40
2015-10-29,26
2015-10-30,15
2015-10-31,5
2015-11-01,6
2015-11-02,19
2015-11-03,45
2015-11-04,48
2015-11-05,16
2015-11-06,59
2015-11-07,6
2015-11-09,56
2015-11-10,15
2015-11-11,127
2015-11-12,22
2015-11-13,15
2015-11-14,34
2015-11-16,102
2015-11-17,202
2015-11-18,17
2015-11-19,46
2015-11-20,29
2015-11-21,10
2015-11-22,1
2015-11-23,72
2015-11-24,47
2015-11-25,9
2015-11-26,23
2015-11-27,9
2015-11-28,9
2015-11-30,46
2015-12-01,26
2015-12-02,111
2015-12-03,48
2015-12-04,15
2015-12-05,6
2015-12-06,1
2015-12-07,17
2015-12-08,11
2015-12-09,78
2015-12-10,70
2015-12-11,46
2015-12-12,12
2015-12-13,9
2015-12-14,75
2015-12-15,42
2015-12-16,15
2015-12-17,52
2015-12-18,393
2015-12-19,12
2015-12-20,10
2015-12-21,13
2015-12-22,78
2015-12-23,67
2015-12-24,3
2015-12-25,28
2015-12-26,26
2015-12-27,11
2015-12-28,20
2015-12-29,80
2015-12-30,35
2015-12-31,12
2016-01-01,10
2016-01-02,7
2016-01-03,21
2016-01-04,32
2016-01-05,95
2016-01-06,189
2016-01-07,58
2016-01-08,104
2016-01-09,30
2016-01-10,21
2016-01-11,84
2016-01-12,32
2016-01-13,33
2016-01-14,66
2016-01-15,34
2016-01-16,137
2016-01-17,17
2016-01-18,593
2016-01-19,202
2016-01-20,67
2016-01-21,74
2016-01-22,140
2016-01-23,24
2016-01-24,27
2016-01-25,59
2016-01-26,107
2016-01-27,25
2016-01-28,121
2016-01-29,47
2016-01-30,24
2016-01-31,17
2016-02-01,222
2016-02-02,48
2016-02-03,91
2016-02-04,62
2016-02-05,70
2016-02-06,23
2016-02-07,20
2016-02-08,46
2016-02-09,294
2016-02-10,106
2016-02-11,34
2016-02-12,69
2016-02-13,49
2016-02-14,50
2016-02-15,47
2016-02-16,54
2016-02-17,51
2016-02-18,42
2016-02-19,37
2016-02-20,46
2016-02-21,18
2016-02-22,82
2016-02-23,114
2016-02-24,57
2016-02-25,120
2016-02-26,46
2016-02-27,111
2016-02-28,76
2016-02-29,76
2016-03-01,112
2016-03-02,73
2016-03-03,45
2016-03-04,99
2016-03-05,39
2016-03-06,28
2016-03-07,63
2016-03-08,50
2016-03-09,90
2016-03-10,37
2016-03-11,45
2016-03-12,36
2016-03-13,25
2016-03-14,170
2016-03-15,260
2016-03-16,82
2016-03-17,29
2016-03-18,128
2016-03-19,27
2016-03-20,38
2016-03-21,82
2016-03-22,59
2016-03-23,62
2016-03-24,46
2016-03-25,38
2016-03-26,26
2016-03-27,29
2016-03-28,77
2016-03-29,113
2016-03-30,51
2016-03-31,66
2016-04-01,44
2016-04-02,31
2016-04-03,37
2016-04-04,257
2016-04-05,34
2016-04-06,50
2016-04-07,34
2016-04-08,44
2016-04-09,45
2016-04-10,36
2016-04-11,88
2016-04-12,63
2016-04-13,96
2016-04-14,35
2016-04-15,76
2016-04-16,34
2016-04-17,153
2016-04-18,57
2016-04-19,57
2016-04-20,37
2016-04-21,43
2016-04-22,39
2016-04-23,45
2016-04-24,34
2016-04-25,43
2016-04-26,38
2016-04-27,193
2016-04-28,55
2016-04-29,37
2016-04-30,32
